bydel,barnehage,spot_litenavdeling,spot_storavdeling,barnehage_url,address,latitude,longitude,match_score,matched_official_name,name_match_score,barnehagefakta_url
St. Hanshaugen,Dr. Brandts barnehage,13,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/dr-brandts-barnehage/,"Pilestredet park 6, 0176 OSLO",59.920751320068,10.738072330653,1.0,Dr. Brandts barnehage,1.0000,https://barnehagefakta.no/barnehage/991658009/dr-brandts-barnehage-as
St. Hanshaugen,Fagerborg menighetsbarnehage,15,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/fagerborg-menighetsbarnehage/,"Sophus Bugges Plass, 0358 OSLO",59.933253,10.730752,1.0,Fagerborg menighetsbarnehage,1.0000,https://barnehagefakta.no/barnehage/974703351/fagerborg-menighetsbarnehage
St. Hanshaugen,Fagerborggaten barnehage,9,1,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/fagerborggaten-barnehage/,"Fagerborggata 14, 0360 OSLO",59.929864608446,10.726667155518,1.0,Fagerborggaten barnehage,1.0000,https://barnehagefakta.no/barnehage/975016544/fagerborggaten-barnehage
St. Hanshaugen,Fryd,7,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/fryd-barnehage/,"Westye Egebergsgate 5, 0177 OSLO",59.922027415853,10.746851681832,0.97,Fryd barnehage,0.4194,https://barnehagefakta.no/barnehage/988728144/fryd-barnehage
St. Hanshaugen,Hammersborg barnehage,10,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/hammersborg-barnehage/,"Damstredet 1-3, 0177 Oslo",59.919983202646,10.746583223638,1.0,Hammersborg barnehage,1.0000,https://barnehagefakta.no/barnehage/975291405/hammersborg-barnehage
St. Hanshaugen,Hasselhaugen,8,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/hasselhaugen-barnehage/,"Hasselhaugveien 24, 0851 Oslo",59.937635883983,10.729022157873,0.97,Hasselhaugen barnehage,0.6632,https://barnehagefakta.no/barnehage/922356289/hasselhaugen-barnehage
St. Hanshaugen,Hausmannsgate Barnehage,21,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/hausmannsgate-barnehage/,"Mariboes gate 20, 0183 Oslo",59.917466,10.752138,1.0,Hausmannsgate barnehage,1.0000,https://barnehagefakta.no/barnehage/914987679/hausmannsgate-barnehage
St. Hanshaugen,Heftyes barnehage,20,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/heftyes-barnehage/,"Kirkeveien 173, 0455 Oslo",59.935327336136,10.739497285311,1.0,Heftyes barnehage,1.0000,https://barnehagefakta.no/barnehage/975317528/heftyes-barnehage
St. Hanshaugen,Jutul Kanvas-barnehage,7,1,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/jutul-kanvas-barnehage/,"Kirkeveien 166, 0407 OSLO",59.936935725301,10.73705786003,1.0,Jutul Kanvas-barnehage,1.0000,https://barnehagefakta.no/barnehage/980125629/lindekroken-kanvas-barnehage
St. Hanshaugen,Katta barnehage,10,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/katta-barnehage/,"Pilestredet park 13, 0176 OSLO",59.921473,10.741118,1.0,Katta barnehage,1.0000,https://barnehagefakta.no/barnehage/990882983/katta-barnehage
St. Hanshaugen,Kirsebærjordet barnehage,11,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/kirsebarjordet-barnehage/,"Blindernveien 3B, 0361 OSLO",59.935681340189,10.727371477408,1.0,Kirsebærjordet barnehage,1.0000,https://barnehagefakta.no/barnehage/975325008/kirsebarjordet-barnehage
St. Hanshaugen,Lille Bislett SIO barnehage AS,10,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/lille-bislett-sio-barnehage/,"Dalsbergstien 22F, 0170 OSLO",59.922965440215,10.734305831112,1.0,Lille Bislett - Sio barnehage AS,1.0000,https://barnehagefakta.no/barnehage/830640142/lille-bislett-sio-barnehage-as
St. Hanshaugen,Lindekroken Kanvas-barnehage,16,2,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/lindekroken-kanvas-barnehage/,"Kirkeveien 166, 0450 OSLO",59.936935725301,10.73705786003,1.0,Lindekroken Kanvas-barnehage,1.0000,https://barnehagefakta.no/barnehage/980125629/lindekroken-kanvas-barnehage
St. Hanshaugen,Lovisenberg Diakonale Barnehage AS,8,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/lovisenberg-diakonale-barnehage/,"Lovisenberggata 7A, 0456 OSLO",59.932176136598,10.744160550629,1.0,Lovisenberg Diakonale barnehage AS,1.0000,https://barnehagefakta.no/barnehage/993804703/lovisenberg-diakonale-barnehage-as
St. Hanshaugen,Læringsverkstedet Langaard barnehage AS,9,3,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/laringsverkstedet-langaard-barnehage/,"Lille Bislett 28, 0170 OSLO",59.92372204827,10.732091027066,0.97,Læringsverkstedet Langaard barnehage,0.8911,https://barnehagefakta.no/barnehage/992042400/laringsverkstedet-langaard-barnehage
St. Hanshaugen,Løkkeberg barnehage,2,7,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/lokkeberg-barnehage/,"Lovisenberggata 15L, 0456 OSLO",59.933640578177,10.748804673241,1.0,Løkkeberg barnehage,1.0000,https://barnehagefakta.no/barnehage/912364445/lokkeberg-barnehage
St. Hanshaugen,Marienlyst gård barnehage,4,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/marienlyst-gard-barnehage/,"Blindernveien 10, 0361 OSLO",59.934852191654,10.724385043235,1.0,Marienlyst Gård barnehage,1.0000,https://barnehagefakta.no/barnehage/975291545/marienlyst-gard-barnehage
St. Hanshaugen,Melkeveien barnehage,10,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/melkeveien-barnehage/,"Schwensens gate 9B, 0170 OSLO",59.923892669325,10.738916518942,1.0,Melkeveien barnehage,1.0000,https://barnehagefakta.no/barnehage/990021449/melkeveien-barnehage
St. Hanshaugen,NRK barnehagen SA,9,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/nrk-barnehagen/,"Bjørnstjerne Bjørnsons Plass 1, 0340 Oslo",59.9347225528,10.719662425682,0.97,NRK barnehagen,0.8301,https://barnehagefakta.no/barnehage/973270222/nrk-barnehagen-oslo-sa
St. Hanshaugen,Trollstua,8,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/trollstua-kanvas-barnehage/,"Kirkeveien 166, Bygg 64, 0450 Oslo",59.936935725301,10.73705786003,1.0,Trollstua Kanvas-barnehage,0.3995,https://barnehagefakta.no/barnehage/980125629/lindekroken-kanvas-barnehage
St. Hanshaugen,Tusentrippen barnehage,11,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/tusentrippen-barnehage/,"Blindernveien 12, 0361 Oslo",59.935288194278,10.722635836454,1.0,Tusentrippen barnehage,1.0000,https://barnehagefakta.no/barnehage/992968028/tusentrippen-barnehage
St. Hanshaugen,Veslefrikk,9,4,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/veslefrikk-kanvas-barnehage/,"Kirkeveien 166, 0450 OSLO",59.936935725301,10.73705786003,1.0,Veslefrikk Kanvas-barnehage,0.4140,https://barnehagefakta.no/barnehage/975315991/veslefrikk-kanvas-barnehage
Stovner,Bjørnheim barnehage,12,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/bjornheim-barnehage/,"Høybråtenveien 27, 1055 OSLO",59.943131286874,10.905948354144,1.0,Bjørnheim barnehage,1.0000,https://barnehagefakta.no/barnehage/975297675/bjornheim-barnehage
Stovner,Christiania Barnehave Høybråten,7,6,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/christiania-barnehave-hoybraten/,"Høybråtenveien 12, 1055 OSLO",59.947028887761,10.904739771314,1.0,Christiania barnehave Høybråten,1.0000,https://barnehagefakta.no/barnehage/974002310/christiania-barnehave-hoybraten-as
Stovner,Fjellstuveien,12,0,https://www.oslo.kommune.no/barnehage/finn-barnehage-i-oslo/fjellstuveien-barnehage/,"Fjellstuveien 62, 0982 OSLO",59.958817194244,10.926727646008,0.97,Fjellstuveien barnehage,0.6722,https://barnehagefakta.no/barnehage/922265895/fjellstuveien-barnehage
